英単語,日本語意味,英語意味
CD,CD,a soft bluish-white ductile malleable toxic bivalent metallic element; occurs in association with zinc ores
celebrate,祝う,behave as expected during of holidays or rites
celebration,お祝い,a joyful occasion for special festivities to mark some happy event
chair,椅子,"a seat for one person, with a support for the back"
change,変化する,an event that occurs when something passes from one state or phase to another
character,キャラクター,an imaginary person represented in a work of fiction (play or film or story)
check,小切手,a written order directing a bank to pay money
cheese,チーズ,a solid food prepared from the pressed curd of milk
chicken,チキン,the flesh of a chicken used for food
child,子,a young person of either sex
chocolate,チョコレート,a beverage made from cocoa powder and milk and sugar; usually drunk hot
choose,選択,"pick out, select, or choose from a number of alternatives"
church,教会,one of the groups of Christians who have their own beliefs and forms of worship
cinema,シネマ,a medium that disseminates moving pictures
circle,サークル,ellipse in which the two axes are of equal length; a plane curve generated by one point moving at a constant distance from a fixed point
city,市,a large and densely populated urban area; may include several independent administrative districts
class,クラス,a collection of things sharing a common attribute
classmate,同級生,an acquaintance that you go to school with
classroom,教室,a room in a school where lessons take place
clean,掃除,a weightlift in which the barbell is lifted to shoulder height and then jerked overhead
clever,賢いです,showing self-interest and shrewdness in dealing with others
climb,登る,an upward slope or grade (as in a road)
clock,時計,a timepiece that shows the time of day
close,閉じる,the temporal end; the concluding time
closed,閉まっている,move so that an opening or passage is obstructed; make shut
cloth,布,artifact made by weaving or felting or knitting or crocheting natural or synthetic fibers
clothes,服,clothing in general
cloud,雲,"any collection of particles (e.g., smoke or dust) or gases that is visible"
cloudy,曇りました,lacking definite form or limits; - H.T.Moore
club,クラブ,a team of professional baseball players who play and travel together
coach,コーチ,(sports) someone in charge of training an athlete or a team
coat,コート,an outer garment that has sleeves and covers the body from shoulder down; worn outdoors
code,コード,a set of rules or principles or laws (especially written ones)
coffee,コーヒー,a beverage consisting of an infusion of ground coffee beans
coke,コークス,carbon fuel produced by distillation of coal
cold,コールド,a mild viral infection involving the nose and respiratory passages (but not the lungs)
collect,コレクト,a short prayer generally preceding the lesson in the Church of Rome or the Church of England
collection,コレクション,several things grouped together or considered as a whole
college,カレッジ,the body of faculty and students of a college
color,色,a visual attribute of things that results from the light they emit or transmit or reflect
come,来ます,the thick white fluid containing spermatozoa that is ejaculated by the male genital tract
computer,コンピューター,a machine for performing calculations automatically
concert,コンサート,a performance of music by players or singers not involving theatrical staging
contest,コンテスト,an occasion on which a winner is selected from among two or more contestants
conversation,会話,the use of speech for informal exchange of views or ideas or information etc.
cook,クック,someone who cooks food
cookie,クッキー,any of various small flat sweet cakes (`biscuit' is the British term)
cool,涼しい,the quality of being at a refreshingly low temperature
cop,警官,uncomplimentary terms for a policeman
copy,コピー,a reproduction of a written record (e.g. of a legal or school record)
corn,コーン,tall annual cereal grass bearing kernels on large ears: widely cultivated in America in many varieties; the principal cereal in Mexico and Central and South America since pre-Columbian times
corner,コーナー,a place off to the side of an area
correct,正しい,make right or correct
couch,ソファー,an upholstered seat for more than one person
course,コース,education imparted in a series of lessons or meetings
cousin,いとこ,the child of your aunt or uncle
cover,カバー,a covering that serves to conceal or shelter something
cow,牛,female of domestic cattle:
cream,クリーム,the best people or things in a group
cry,泣く,a loud utterance; often in protest or opposition
culture,文化,a particular society at a particular time and place
cup,カップ,a small open container usually used for drinking; usually has a handle
cut,切る,a share of the profits
cute,可愛い,attractive especially by means of smallness or prettiness or quaintness
dad,パパ,an informal term for a father; probably derived from baby talk
daddy,パパ,an informal term for a father; probably derived from baby talk
dance,ダンス,an artistic form of nonverbal communication
dancing,ダンシング,taking a series of rhythmical steps (and movements) in time to music
dark,闇,absence of light or illumination
date,日付,the specified day of the month
daughter,娘,a female human offspring
day,日,time for Earth to make a complete rotation on its axis
dear,親愛な,a beloved person; used as terms of endearment
December,12月,the last (12th) month of the year
delicious,おいしい,variety of sweet eating apples
describe,述べます,give a description of
design,設計,the act of working out the form of something (as by making a sketch or outline or plan)
desk,机,a piece of furniture with a writing surface and usually drawers or other compartments
dictionary,辞書,a reference book containing an alphabetical list of words with information about them
did,した,engage in
difference,差,the quality of being unlike or dissimilar
different,異なります,unlike in nature or quality or form or degree
difficult,難しいです,not easy; requiring great physical or mental effort to accomplish or comprehend or endure
dig,掘る,the site of an archeological exploration
dinner,晩ごはん,the main meal of the day served in the evening or at midday
dirty,汚れた,"make soiled, filthy, or dirty"
discuss,話し合います,an athletic competition in which a disk-shaped object is thrown as far as possible
dish,皿,a piece of dishware normally used as a container for holding or serving food
do,行う,an uproarious party
doctor,医師,a licensed medical practitioner
does,し,the federal department responsible for maintaining a national energy policy of the United States; created in 1977
dog,犬,a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times; occurs in many breeds
doing,やっ,engage in
doll,人形,a small replica of a person; used as a toy
dollar,ドル,the basic monetary unit in many countries; equal to 100 cents
door,ドア,a swinging or sliding barrier that will close the entrance to a room or building or vehicle
down,ダウン,soft fine feathers
drama,ドラマ,a dramatic work intended for performance by actors on a stage
draw,ドロー,a gully that is shallower than a ravine
dream,夢,a series of mental images and emotions occurring during sleep
dress,ドレス,a one-piece garment for a woman; has skirt and bodice
drink,ドリンク,a single serving of a beverage
drive,ドライブ,the act of applying force to propel something
driver,運転者,the operator of a motor vehicle
drop,落とす,a shape that is spherical and small
drum,ドラム,a musical percussion instrument; usually consists of a hollow cylinder with a membrane stretched across each end
dry,ドライ,a reformer who opposes the use of intoxicating beverages
due,原因,that which is deserved or owed
DVD,DVD,a digital recording (as of a movie) on an optical disk that can be played on a computer or a television set
each,各,(used of count nouns) every one considered individually
ear,耳,the sense organ for hearing and equilibrium
early,早いです,at or near the beginning of a period of time or course of events or before the usual or expected time
easy,イージー,posing no difficulty; requiring little effort
eat,食べる,take in solid food
egg,卵,animal reproductive body consisting of an ovum or embryo together with nutritive and protective envelopes; especially the thin-shelled reproductive body laid by e.g. female birds
eight,8,the cardinal number that is the sum of seven and one
eighteen,18,the cardinal number that is the sum of seventeen and one
eighty,80人,the cardinal number that is the product of ten and eight
either,どちらか,after a negative statement used as an intensive meaning something like `likewise' or `also'
elementary,小学校,easy and not involved or complicated
eleven,十一,the cardinal number that is the sum of ten and one
email,Eメール,(computer science) a system of world-wide electronic communication in which a computer user can compose a message at one terminal that can be regenerated at the recipient's terminal when the recipient logs in
end,終わり,either extremity of something that has length
engineer,エンジニア,a person who uses scientific knowledge to solve practical problems
enjoy,楽しい,derive or receive pleasure from; get enjoyment from; take pleasure in
evening,イブニング,the latter part of the day (the period of decreasing daylight from late afternoon until nightfall)
event,イベント,something that happens at a given place and time
every,すべての,(used of count nouns) each and all of the members of a group considered singly and without exception
everyday,毎日,found in the ordinary course of events; ; ; - Anita Diamant
everywhere,どこにでも,to or in any or all places; ; ; ; ; (`everyplace' is used informally for `everywhere')
example,例,an item of information that is typical of a class or group
excellent,優秀な,very good;of the highest quality
excited,興奮,arouse or elicit a feeling
exciting,エキサイティング,arouse or elicit a feeling
excuse,言い訳,a defense of some offensive behavior or some failure to keep a promise etc.
exercise,運動,the activity of exerting your muscles in various ways to keep fit
expensive,高価な,high in price or charging high prices
eye,眼,the organ of sight
face,面,the front of the human head from the forehead to the chin and ear to ear
factory,工場,a plant consisting of one or more buildings with facilities for manufacturing
fair,公正な,a traveling show; having sideshows and rides and games of skill etc.
fairy,妖精,"a small being, human in form, playful and having magical powers"
FALSE,FALSE,not in accordance with the fact or reality or actuality
family,家族,a social unit living together
famous,名高いです,widely known and esteemed
fan,ファン,a device for creating a current of air by movement of a surface or surfaces
farm,ファーム,workplace consisting of farm buildings and cultivated land as a unit
farmer,農家,a person who operates a farm
fast,速いです,abstaining from food
fat,太い,a soft greasy substance occurring in organic tissue and consisting of a mixture of lipids (mostly triglycerides)
father,お父さん,a male parent (also used as a term of address to your father)
favorite,お気に入り,something regarded with special favor or liking
February,2月,the month following January and preceding March
feed,フィード,food for domestic livestock
feel,感じます,an intuitive awareness;  or
feeling,感じ,the experiencing of affective and emotional states
festival,祭り,a day or period of time set aside for feasting and celebration
fever,熱,a rise in the temperature of the body; frequently a symptom of infection
field,フィールド,a piece of land cleared of trees and usually enclosed
fifteen,15,the cardinal number that is the sum of fourteen and one
fifty,五十,the cardinal number that is the product of ten and five
fight,戦い,a hostile meeting of opposing military forces in the course of a war
file,ファイル,a set of related records (either written or electronic) kept together
fill,フィル,a quantity sufficient to satisfy
find,見つけます,a productive insight
fine,罰金,money extracted as a penalty
finish,仕上がり,a decorative texture or appearance of a surface (or the substance that gives it that appearance)
fire,火,the event of something burning (often destructive)
first,最初,the first or highest in an ordering or series
fish,魚,any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills
fishing,釣り,the act of someone who fishes as a diversion
five,五,the cardinal number that is the sum of four and one
flag,国旗,emblem usually consisting of a rectangular piece of cloth of distinctive design
flat,平らな,a level tract of land
floor,床,"the inside lower horizontal surface (as of a room, hallway, tent, or other structure)"
flower,花,a plant cultivated for its blooms or blossoms
fly,飛ぶ,two-winged insects characterized by active flight
focus,フォーカス,the concentration of attention or energy on something
foggy,霧,stunned or confused and slow to react (as from blows or drunkenness or exhaustion)
following,以下,a group of followers or enthusiasts
food,食物,any substance that can be metabolized by an animal to give energy and build tissue
football,フットボール,any of various games played with a ball (round or oval) in which two teams try to kick or carry or propel the ball into each other's goal
foreign,外国の,of concern to or concerning the affairs of other nations (other than your own)
foreigner,外国人,a person who comes from a foreign country; someone who does not owe allegiance to your country
forget,忘れる,dismiss from the mind; stop remembering
form,形,the phonological or orthographic sound or appearance of a word that can be used to describe or identify something
forty,四十,the cardinal number that is the product of ten and four
four,四,the cardinal number that is the sum of three and one
fourteen,十四,the cardinal number that is the sum of thirteen and one
free,自由,people who are free
Friday,金曜日,the sixth day of the week; the fifth working day
friend,友人,a person you know well and regard with affection and trust
frog,カエル,any of various tailless stout-bodied amphibians with long hind limbs for leaping; semiaquatic and terrestrial species
front,前面,the side that is forward or prominent
fruit,フルーツ,the ripened reproductive body of a seed plant
full,いっぱい,the time when the Moon is fully illuminated
fun,遊び,activities that are enjoyable or amusing
funny,おもしろいです,an account of an amusing incident (usually with a punch line)
future,未来,the time yet to come
game,ゲーム,a contest with rules to determine a winner
garbage,ごみ,food that is discarded (as from a kitchen)
garden,庭園,a plot of ground where plants are cultivated
get,取得する,a return on a shot that seemed impossible to reach and would normally have resulted in a point for the opponent
ghost,幽霊,a mental representation of some haunting experience
gift,贈り物,something acquired without compensation
girl,女の子,a young woman
girlfriend,ガールフレンド,any female friend
give,与える,the elasticity of something that can be stretched and returns to its original length
glad,嬉しいです,any of numerous plants of the genus Gladiolus native chiefly to tropical and South Africa having sword-shaped leaves and one-sided spikes of brightly colored funnel-shaped flowers; widely cultivated
glass,ガラス,a brittle transparent solid with irregular atomic structure
glasses,眼鏡,optical instrument consisting of a frame that holds a pair of lenses for correcting defective vision
go,行きます,a time for working (after which you will be relieved by someone else)
goal,ゴール,the state of affairs that a plan is intended to achieve and that (when achieved) terminates behavior intended to achieve it
gold,ゴールド,coins made of gold
good,良い,benefit
grade,グレード,a body of students who are taught together
grammar,文法,the branch of linguistics that deals with syntax and morphology (and sometimes also deals with semantics)
grandfather,祖父,the father of your father or mother
grandma,おばあちゃん,the mother of your father or mother
grandmother,祖母,the mother of your father or mother
grandpa,おじいちゃん,the father of your father or mother
grandparent,祖父母,a parent of your father or mother
grape,葡萄,any of various juicy fruit of the genus Vitis with green or purple skins; grow in clusters
grass,草,narrow-leaved green herbage: grown as lawns; used as pasture for grazing animals; cut and dried as hay
gray,グレー,a neutral achromatic color midway between white and black
great,すごい,a person who has achieved distinction and honor in some field
green,緑,green color or pigment; resembling the color of growing grass
greet,挨拶,express greetings upon meeting someone
ground,接地,the solid part of the earth's surface
group,グループ,any number of entities (members) considered as a unit
grow,育ちます,"pass into a condition gradually, take on a specific property or attribute; become"
guess,推測,a message expressing an opinion based on incomplete evidence
guest,ゲスト,a visitor to whom hospitality is extended
guitar,ギター,a stringed instrument usually having six strings; played by strumming or plucking
guy,男,an informal term for a youth or man
habit,習慣,an established custom
had,持っていました,"have or possess, either in a concrete or an abstract sense"
hair,ヘア,a covering for the body (or parts of it) consisting of a dense growth of threadlike structures (as on the human head); helps to prevent heat loss
haircut,散髪,the style in which hair has been cut
half,ハーフ,one of two equal parts of a divisible whole
hall,ホール,an interior passage or corridor onto which rooms open
hamburger,ハンバーガー,"a sandwich consisting of a fried cake of minced beef served on a bun, often with other ingredients"
hand,手,the (prehensile) extremity of the superior limb
handsome,ハンサム,pleasing in appearance especially by reason of conformity to ideals of form and proportion; ; ; ; - Thackeray; - Lillian Hellman
happen,起こります,come to pass
happy,ハッピー,enjoying or showing or marked by joy or pleasure
hard,ハード,not easy; requiring great physical or mental effort to accomplish or comprehend or endure
has,持っています,(astronomy) the angular distance of a celestial point measured westward along the celestial equator from the zenith crossing; the right ascension for an observer at a particular location and time of day
hat,帽子,headdress that protects the head from bad weather; has shaped crown and usually a brim
have,持ってる,a person who possesses great material wealth
having,ました,"have or possess, either in a concrete or an abstract sense"
he,彼,a very light colorless element that is one of the six inert gasses; the most difficult gas to liquefy; occurs in economically extractable amounts in certain natural gases (as those found in Texas and Kansas)
head,頭,the upper part of the human body or the front part of the body in animals; contains the face and brains
headache,頭痛,something or someone that causes anxiety; a source of unhappiness
health,健康,a healthy state of wellbeing free from disease
healthy,元気,having or indicating good health in body or mind; free from infirmity or disease
hear,聞く,perceive (sound) via the auditory sense
heart,ハート,the locus of feelings and intuitions
heavy,ヘビー,an actor who plays villainous roles
hello,こんにちは,an expression of greeting
help,助けて,the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose
here,ここに,the present location; this place
hi,こんにちは,an expression of greeting
hide,隠す,the dressed skin of an animal (especially a large animal)
high,高い,a lofty level or position or degree
hill,丘,a local and well-defined elevation of the land
history,歴史,the aggregate of past events
hobby,趣味,an auxiliary activity
hold,ホールド,the act of grasping
hole,穴,an opening into or through something
holiday,休日,leisure time away from work devoted to rest or pleasure
home,家,where you live at a particular time
hometown,出身地,the town (or city) where you grew up or where you have your principal residence
homework,宿題,preparatory school work done outside school (especially at home)
hope,望む,a specific instance of feeling hopeful
horse,うま,solid-hoofed herbivorous quadruped domesticated since prehistoric times
hospital,病院,a health facility where patients receive treatment
hot,ホット,used of physical heat; having a high or higher than desirable temperature or giving off heat or feeling or causing a sensation of heat or burning
hotel,ホテル,a building where travelers can pay for lodging and meals and other services
hour,時間,a period of time equal to 1/24th of a day
house,家,a dwelling that serves as living quarters for one or more families
hungry,空腹の,feeling hunger; feeling a need or desire to eat food
hurry,急ぎます,a condition of urgency making it necessary to hurry
hurt,傷つい,any physical damage to the body caused by violence or accident or fracture etc.
husband,夫,a married man; a woman's partner in marriage
I,私,a nonmetallic element belonging to the halogens; used especially in medicine and photography and in dyes; occurs naturally only in combination in small quantities (as in sea water or rocks)
ice,氷,water frozen in the solid state
idea,考え,the content of cognition; the main thing you are thinking about
ideal,理想的,the idea of something that is perfect; something that one hopes to attain
imagine,想像します,form a mental image of something that is not present or that is not the case
important,重要,of great significance or value
in,に,a unit of length equal to one twelfth of a foot
information,情報,a message received and understood
inside,内部,the region that is inside of something
interested,興味がある,excite the curiosity of; engage the interest of
interesting,面白い,excite the curiosity of; engage the interest of
Internet,インターネット,a computer network consisting of a worldwide network of computer networks that use the TCP/IP network protocols to facilitate data transmission and exchange
interview,インタビュー,the questioning of a person (or a conversation in which information is elicited); often conducted by journalists
interviewer,インタビュアー,a person who conducts an interview
introduce,導入する,cause to come to know personally
is,あります,"have the quality of being; (copula, used with an adjective or a predicate noun)"
island,島,a land mass (smaller than a continent) that is surrounded by water
it,それ,the branch of engineering that deals with the use of computers and telecommunications to retrieve and store and transmit information
item,項目,a distinct part that can be specified separately in a group of things that could be enumerated on a list
its,それの,the branch of engineering that deals with the use of computers and telecommunications to retrieve and store and transmit information
jacket,ジャケット,a short coat
January,1月,the first month of the year; begins 10 days after the winter solstice
jeans,ジーンズ,(usually plural) close-fitting trousers of heavy denim for manual work or casual wear
jet,ジェット,an airplane powered by one or more jet engines
jewelry,宝石,an adornment (as a bracelet or ring or necklace) made of precious metals and set with gems (or imitation gems)
job,ジョブ,the principal activity in your life that you do to earn money
join,加わります,the shape or manner in which things come together and a connection is made
judge,裁判官,a public official authorized to decide questions brought before a court of justice
juice,ジュース,the liquid part that can be extracted from plant or animal tissue by squeezing or cooking
July,七月,the month following June and preceding August
jump,ジャンプ,a sudden and decisive increase
June,六月,the month following May and preceding July
just,ただ,used especially of what is legally or ethically right or proper or fitting; - A.Lincoln
keep,保つ,the financial means whereby one lives
key,キー,metal device shaped in such a way that when it is inserted into the appropriate lock the lock's mechanism can be rotated
kick,キック,the act of delivering a blow with the foot
kid,キッド,a young person of either sex
kill,殺します,the act of terminating a life
kind,種類,a category of things distinguished by some common characteristic or quality
king,キング,a male sovereign; ruler of a kingdom
kiss,接吻,the act of caressing with the lips (or an instance thereof)
kitchen,キッチン,a room equipped for preparing meals
kite,凧,a bank check that has been fraudulently altered to increase its face value
knee,膝,hinge joint in the human leg connecting the tibia and fibula with the femur and protected in front by the patella
knife,ナイフ,edge tool used as a cutting instrument; has a pointed blade with a sharp edge and a handle
know,知っています,the fact of being aware of information that is known to few people
lady,レディ,a polite name for any woman
language,言語,a systematic means of communicating by the use of sounds or conventional symbols
large,大,a garment size for a large person
late,遅く,being or occurring at an advanced period of time or after a usual or expected time
later,後,coming at a subsequent time or stage
laugh,笑い,the sound of laughing
lazy,怠惰な,moving slowly and gently
leader,盟主,a person who rules or guides or inspires others
leaf,葉,the main organ of photosynthesis and transpiration in higher plants
learn,学びます,gain knowledge or skills
leave,休暇,the period of time during which you are absent from work or duty
left,左,location near or direction toward the left side; i.e. the side to the north when a person or object faces east
leg,脚,a human limb; commonly used to refer to a whole limb but technically only the part of the limb between the knee and ankle
lesson,レッスン,a unit of instruction
let,てみましょう,a brutal terrorist group active in Kashmir; fights against India with the goal of restoring Islamic rule of India
letter,文字,a written message addressed to a person or organization
library,図書館,a room where books are kept
life,生活,a characteristic state or mode of living
light,光,(physics) electromagnetic radiation that can produce a visual sensation
like,お気に入り,"a similar kind; ,"
lily,リリー,any liliaceous plant of the genus Lilium having showy pendulous flowers
line,ライン,a formation of people or things one beside another
lion,ライオン,large gregarious predatory feline of Africa and India having a tawny coat with a shaggy mane in the male
list,リスト,a database containing an ordered array of items (names or topics)
listen,聴く,hear with intention
little,少し,a small amount or duration
live,住む,inhabit or live in; be an inhabitant of
living,生活,the experience of being alive; the course of human events and activities
lonely,寂しい,lacking companions or companionship
long,長いです,desire strongly or persistently
look,外観,the feelings expressed on a person's face
lot,たくさん,(often followed by `of') a large number or amount or extent
love,愛,a strong positive emotion of regard and affection
lovely,美しい,a very pretty girl who works as a photographer's model
luck,幸運,your overall circumstances or condition in life (including everything that happens to you)
lucky,幸運な,occurring by chance
lunch,ランチ,a midday meal
m,メートル,the basic unit of length adopted under the Systeme International d'Unites (approximately 1.094 yards)
machine,機械,any mechanical or electrical device that transmits or modifies energy to perform or assist in the performance of human tasks
magazine,マガジン,a periodic publication containing pictures and stories and articles of interest to those who purchase it or subscribe to it
mail,郵便物,the bags of letters and packages that are transported by the postal service
make,メイク,a recognizable kind
man,おとこ,an adult person who is male (as opposed to a woman)
many,たくさんの,a quantifier that can be used with count nouns and is often preceded by `as' or `too' or `so' or `that'; amounting to a large but indefinite number
map,地図,a diagrammatic representation of the earth's surface (or part of it)
March,行進,the month following February and preceding April
match,一致,lighter consisting of a thin piece of wood or cardboard tipped with combustible chemical; ignites with friction
math,数学,a science (or group of related sciences) dealing with the logic of quantity and shape and arrangement
matter,案件,a vaguely specified concern
may,五月,the month following April and preceding June
