英単語,日本語意味,英語意味
anxiety,不安,"(psychiatry) a relatively permanent state of worry and nervousness occurring in a variety of mental disorders, usually accompanied by compulsive behavior or attacks of panic"
any,どれか,one or some or every or all without specification
anymore,もはや,at the present or from now on; usually used with a negative
anyway,とにかく,used to indicate that a statement explains or supports a previous statement
anywhere,どこでも,at or in or to any place; ; (`anyplace' is used informally for `anywhere')
apart,別として,remote and separate physically or socially; ; - W.H.Hudson
apartment,アパート,a suite of rooms usually on one floor of an apartment house
apparent,見かけ上,clearly revealed to the mind or the senses or judgment
apparently,明らかに,from appearances alone; ; ; -Thomas Hardy
appeal,アピール,earnest or urgent request
appear,現れる,give a certain impression or have a certain outward aspect
appearance,外観,outward or visible aspect of a person or thing
apple,林檎,fruit with red or yellow or green skin and sweet to tart crisp whitish flesh
application,応用,the act of bringing something to bear; using it for a particular purpose
apply,適用します,put into service; make work or employ for a particular purpose or for its inherent or natural purpose
appoint,任命します,create and charge with a task or function
appointment,任命,the act of putting a person into a non-elective position
appreciate,感謝する,recognize with gratitude; be grateful for
approach,アプローチ,ideas or actions intended to deal with a problem or situation
appropriate,適切な,give or assign a resource to a particular person or cause
approval,承認,the formal act of approving
approve,認めます,give sanction to
approximately,約,(of quantities) imprecise but fairly close to correct
Arab,アラブ,a member of a Semitic people originally from the Arabian peninsula and surrounding territories who speaks Arabic and who inhabits much of the Middle East and northern Africa
architect,建築家,someone who creates plans to be used in making something (such as buildings)
area,範囲,a particular geographical region of indefinite boundary (usually serving some special purpose or distinguished by its people or culture or geography)
argue,論じます,present reasons and arguments
argument,引数,a fact or assertion offered as evidence that something is true
arise,生じます,come into existence; take on form or shape
arm,腕,a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb
armed,武装しました,prepare oneself for a military confrontation
army,軍,a permanent organization of the military land forces of a nation or state
around,周りに,in the area or vicinity
arrange,アレンジ,put into a proper or systematic order
arrangement,配置,the thing arranged or agreed to
arrest,逮捕,the act of apprehending (especially apprehending a criminal)
arrival,到着,accomplishment of an objective
arrive,着きます,reach a destination; arrive by movement or progress
art,アート,the products of human creativity; works of art collectively
article,論文,nonfictional prose forming an independent part of a publication
artist,アーティスト,a person whose creative work shows sensitivity and imagination
artistic,芸術的,relating to or characteristic of art or artists
as,なので,a very poisonous metallic element that has three allotropic forms; arsenic and arsenic compounds are used as herbicides and insecticides and various alloys; found in arsenopyrite and orpiment and realgar
Asian,アジアの,a native or inhabitant of Asia
aside,さておき,a line spoken by an actor to the audience but not intended for others on the stage
ask,頼みます,inquire about
asleep,眠っています,in a state of sleep
aspect,側面,a distinct feature or element in a problem
assault,暴行,close fighting during the culmination of a military attack
assert,主張する,state categorically
assess,評価します,the fleshy part of the human body that you sit on
assessment,評価,the classification of someone or something with respect to its worth
asset,資産,a useful or valuable quality
assign,割当,"give an assignment to (a person) to a post, or assign a task to (a person)"
assignment,割り当て,a duty that you are assigned to perform (especially in the armed forces)
assist,支援する,the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose
assistance,援助,the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose
assistant,アシスタント,a person who contributes to the fulfillment of a need or furtherance of an effort or purpose
associate,仲間、同僚,a person who joins with others in some activity or endeavor
association,協会,a formal organization of people or groups of people
assume,仮定,take to be the case or to be true; accept without verification or proof
assumption,仮定,a statement that is assumed to be true and from which a conclusion can be drawn
assure,保証,make certain of
at,に,a highly unstable radioactive element (the heaviest of the halogen series); a decay product of uranium and thorium
athlete,アスリート,a person trained to compete in sports
athletic,アスレチック,relating to or befitting athletics or athletes
atmosphere,雰囲気,a particular environment or surrounding influence
attach,アタッチ,cause to be attached
attack,攻撃,(military) an offensive against an enemy (using weapons)
attempt,試み,earnest and conscientious activity intended to do or accomplish something
attend,出席,"be present at (meetings, church services, university), etc."
attention,注意,the process whereby a person concentrates on some features of the environment to the (relative) exclusion of others
attitude,姿勢,a complex mental state involving beliefs and feelings and values and dispositions to act in certain ways
attorney,代理人,a professional person authorized to practice law; conducts lawsuits or gives legal advice
attract,引き付けます,direct toward itself or oneself by means of some psychological power or physical attributes
attractive,魅力的,pleasing to the eye or mind especially through beauty or charm
attribute,属性,a construct whereby objects or individuals can be distinguished
audience,聴衆,a gathering of spectators or listeners at a (usually public) performance
author,著者,writes (books or stories or articles or the like) professionally (for pay)
authority,権限,the power or right to give orders or make decisions
auto,オート,a motor vehicle with four wheels; usually propelled by an internal combustion engine
available,利用できます,obtainable or accessible and ready for use or service
average,平均,a statistic describing the location of a distribution
avoid,避ける,stay clear from; keep away from; keep out of the way of someone or something
award,賞,a grant made by a law court
aware,気がついて,(sometimes followed by `of') having or showing knowledge or understanding or realization or perception
awareness,意識,having knowledge of
away,先に,not present; having left
awful,酷いです,exceptionally bad or displeasing
baby,赤ちゃん,a very young child (birth to 1 year) who has not yet begun to walk or talk
back,バック,the posterior part of a human (or animal) body from the neck to the end of the spine
background,バックグラウンド,a person's social heritage: previous experience or training
bad,悪い,that which is below standard or expectations as of ethics or decency
badly,ひどく,to a severe or serious degree
bag,バッグ,a flexible container with a single opening
bake,焼く,cook and make edible by putting in a hot oven
balance,残高,a state of equilibrium
ball,玉,round object that is hit or thrown or kicked in games
ban,禁止,a decree that prohibits something
band,バンド,an unofficial association of people or groups
bank,バンク,sloping land (especially the slope beside a body of water)
bar,バー,a room or establishment where alcoholic drinks are served over a counter
barely,かろうじて,only a very short time before; ; ; ; ; - W.B.Yeats
barrel,たる,a tube through which a bullet travels when a gun is fired
barrier,バリア,a structure or object that impedes free movement
base,ベース,installation from which a military force initiates operations
baseball,野球,a ball game played with a bat and ball between two teams of nine players; teams take turns at bat trying to score runs
basic,基本的な,a popular programming language that is relatively easy to learn; an acronym for beginner's all-purpose symbolic instruction code; no longer in general use
basically,基本的に,in essence; at bottom or by one's (or its) very nature
basis,基礎,a relation that provides the foundation for something
basket,バスケット,a container that is usually woven and has handles
basketball,バスケットボール,a game played on a court by two opposing teams of 5 players; points are scored by throwing the ball through an elevated horizontal hoop
bathroom,バスルーム,a room (as in a residence) containing a bathtub or shower and usually a washbasin and toilet
battery,電池,group of guns or missile launchers operated together at one place
battle,戦い,a hostile meeting of opposing military forces in the course of a war
be,されます,a light strong brittle grey toxic bivalent metallic element
beach,ビーチ,an area of sand sloping down to the water of a sea or lake
bean,豆,any of various edible seeds of plants of the family Leguminosae used for food
bear,くま,massive plantigrade carnivorous or omnivorous mammals with long shaggy coats and strong claws
beat,ビート,a regular route for a sentry or policeman
beautiful,綺麗な,delighting the senses or exciting intellectual or emotional admiration
beauty,美しさ,the qualities that give pleasure to the senses
become,なります,enter or assume a certain state or condition
bed,ベッド,a piece of furniture that provides a place to sleep
bedroom,ベッドルーム,a room used primarily for sleeping
beer,ビール,a general name for alcoholic beverages made by fermenting a cereal (or mixture of cereals) flavored with hops
before,前,earlier in time; previously
begin,ベギン,Israeli statesman (born in Russia) who (as prime minister of Israel) negotiated a peace treaty with Anwar Sadat (then the president of Egypt) (1913-1992)
beginning,初め,the event consisting of the start of something
behavior,動作,manner of acting or controlling yourself
behind,後ろに,the fleshy part of the human body that you sit on
being,であること,the state or fact of existing
belief,信念,any cognitive content held as true
believe,信じます,accept as true; take to be true
bell,ベル,a hollow device made of metal that makes a ringing sound when struck
belong,属する,be owned by; be in the possession of
below,未満,in or to a place that is lower
belt,ベルト,endless loop of flexible material between two rotating shafts or pulleys
bench,ベンチ,a long seat for more than one person
bend,曲がり,a circular segment of a curve
beneath,下に,in or to a place that is lower
benefit,ベネフィット,financial assistance in time of need
besides,さらに,making an additional point; anyway
best,ベスト,the supreme effort one can make
bet,ベット,the money risked on a gamble
better,よりよいです,something superior in quality or condition or effect
between,の間に,in the interval
beyond,超えて,farther along in space or time or degree
Bible,聖書,the sacred writings of the Christian religions
big,大きい,above average in size or number or quantity or magnitude or extent
bike,自転車,a motor vehicle with two wheels and a strong frame
bill,ビル,a statute in draft before it becomes law
billion,十億,the number that is represented as a one followed by 12 zeros; in the United Kingdom the usage followed in the United States is frequently seen
bind,練る,something that hinders as if with bonds
biological,生物学,pertaining to biology or to life and living things
bird,鳥,warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings
birth,誕生,the time when something begins (especially life)
birthday,お誕生日,an anniversary of the day on which a person was born (or the celebration of it)
bit,ビット,a small piece or quantity of something
bite,一口,a wound resulting from biting by an animal or a person
black,黒,the quality or state of the achromatic color of least lightness (bearing the least resemblance to white)
blade,刃,especially a leaf of grass or the broad portion of a leaf as distinct from the petiole
blame,責め,an accusation that you are responsible for some lapse or misdeed
blanket,毛布,bedding that keeps a person warm in bed
blind,ブラインド,"people who have severe visual impairments, considered as a group"
block,ブロック,a solid piece of something (usually having flat rectangular sides)
blood,血液,"the fluid (red in vertebrates) that is pumped through the body by the heart and contains plasma, blood cells, and platelets"
blow,ブロー,a powerful stroke with the fist or a weapon
blue,青い,blue color or pigment; resembling the color of the clear sky in the daytime
board,ボード,a committee having supervisory powers
boat,ボート,a small vessel for travel on water
body,体,"the entire structure of an organism (an animal, plant, or human being)"
bomb,爆弾,an explosive device fused to explode under specific conditions
bombing,爆撃,an attack by dropping bombs
bond,つなぐ,an electrical force linking atoms
bone,骨,rigid connective tissue that makes up the skeleton of vertebrates
book,本,a written work or composition that has been published (printed on pages bound together)
boom,ブーム,a deep prolonged loud noise
boot,ブート,footwear that covers the whole foot and lower leg
border,境界,a line that indicates a boundary
born,生まれ,British nuclear physicist (born in Germany) honored for his contributions to quantum mechanics (1882-1970)
borrow,かりて,get temporarily
boss,ボス,a person who exercises control over workers
both,どちらも,(used with count nouns) two considered together; the two
bother,煩わします,an angry disturbance
bottle,ボトル,a glass or plastic vessel used for storing drinks or other liquids; typically cylindrical without handles and with a narrow neck that can be plugged or capped
bottom,ボトム,the lower side of anything
boundary,境界,the line or plane indicating the limit or extent of something
bowl,丼鉢,a round vessel that is open at the top; used chiefly for holding food or liquids
box,ボックス,a (usually rectangular) container; may have a lid
boy,男の子,a youthful male person
boyfriend,彼氏,a man who is the lover of a girl or young woman
brain,脳,that part of the central nervous system that includes all the higher nervous centers; enclosed within the skull; continuous with the spinal cord
branch,ブランチ,a division of some larger or more complex organization
brand,ブランド,a name given to a product or service
bread,パン,food made from dough of flour or meal and usually raised with yeast or baking powder and then baked
break,ブレーク,some abrupt occurrence that interrupts an ongoing activity
breakfast,朝ごはん,the first meal of the day (usually in the morning)
breast,乳,the front of the trunk from the neck to the abdomen
breath,呼吸,the process of taking in and expelling air during breathing
breathe,息をします,"draw air into, and expel out of, the lungs"
brick,煉瓦,rectangular block of clay baked by the sun or in a kiln; used as a building or paving material
bridge,ブリッジ,a structure that allows people or vehicles to cross an obstacle such as a river or canal or railway etc.
brief,ブリーフ,a document stating the facts and points of law of a client's case
briefly,簡単に,for a short time
bright,明るい,emitting or reflecting light readily or in large amounts
brilliant,鮮やかさ,of surpassing excellence
bring,持って来ます,take something or somebody with oneself somewhere
British,英国の,the people of Great Britain
broad,幅広いです,slang term for a woman
broken,壊れた,terminate
brother,兄,a male with the same parents as someone else
brown,褐色,an orange of low brightness and saturation
brush,みがきます,a dense growth of bushes
buck,バック,a gymnastic horse without pommels and with one end elongated; used lengthwise for vaulting
budget,予算,a sum of money allocated for a particular purpose
build,ビルド,constitution of the human body
building,建物,a structure that has a roof and walls and stands more or less permanently in one place
bullet,弾丸,a projectile that is fired from a gun
bunch,束,a grouping of a number of similar things
burden,重荷,an onerous or difficult concern
burn,燃やす,pain that feels hot as if it were on fire
bury,埋め込む,cover from sight
bus,バス,a vehicle carrying many passengers; used for public transport
business,ビジネス,a commercial or industrial enterprise and the people who constitute it
busy,忙しい,keep busy with
but,だが,and nothing more
butter,バター,an edible emulsion of fat globules made by churning milk or cream; for cooking and table use
button,ボタン,a round fastener sewn to shirts and coats etc to fit through buttonholes
buy,購入,an advantageous purchase
buyer,買い手,a person who buys
by,沿って,so as to pass a given point
cabin,キャビン,small room on a ship or boat where people sleep
cabinet,戸棚,a piece of furniture resembling a cupboard with doors and shelves and drawers; for storage or display
cable,ケーブル,a telegram sent abroad
cake,ケーキ,a block of solid substance (such as soap or wax)
calculate,計算,make a mathematical calculation or computation
call,コール,a telephone connection
camera,カメラ,equipment for taking photographs (usually consisting of a lightproof box with a lens at one end and light-sensitive film at the other)
camp,キャンプ,temporary living quarters specially built by the army for soldiers
campaign,運動,a race between candidates for elective office
campus,キャンパス,a field on which the buildings of a university are situated
can,できる,airtight sealed metal container for food or drink or paint etc.
Canadian,カナダの,a native or inhabitant of Canada
cancer,癌,any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body through the lymphatic system or the blood stream
candidate,候補者,a politician who is running for public office
cap,キャップ,a tight-fitting headdress
capability,能力,the quality of being capable -- physically or intellectually or legally
capable,できます,(usually followed by `of') having capacity or ability
capacity,容量,capability to perform or produce
capital,資本,assets available for use in the production of further assets
captain,キャプテン,an officer holding a rank below a major but above a lieutenant
capture,キャプチャー,the act of forcibly dispossessing an owner of property
car,車,a motor vehicle with four wheels; usually propelled by an internal combustion engine
carbon,炭素,an abundant nonmetallic tetravalent element occurring in three allotropic forms: amorphous carbon and graphite and diamond; occurs in all organic compounds
card,カード,one of a set of small pieces of stiff paper marked in various ways and used for playing games or for telling fortunes
care,お手入れ,the work of providing treatment for or attending to someone or something
career,キャリア,the particular occupation for which you are trained
careful,注意深いです,exercising caution or showing care or attention
carefully,注意深く,taking care or paying attention
carrier,キャリアー,someone whose employment involves carrying something
carry,運ぶ,the act of carrying something
case,場合,an occurrence of something
cash,現金,money in the form of bills or coins
cast,キャスト,the actors in a play
cat,ネコ,feline mammal usually having thick soft fur and no ability to roar: domestic cats; wildcats
catch,キャッチ,a drawback or difficulty that is not readily evident
category,カテゴリー,a collection of things sharing a common attribute
Catholic,カソリック,a member of a Catholic church
cause,原因,events that provide the generative force that is the origin of something
ceiling,天井,the overhead upper surface of a covered space
celebrate,祝う,behave as expected during of holidays or rites
celebration,お祝い,a joyful occasion for special festivities to mark some happy event
celebrity,有名人,a widely known person
cell,細胞,any small compartment
center,センター,an area that is approximately central within some larger region
central,セントラル,a workplace that serves as a telecommunications facility where lines from telephones can be connected together to permit communication
century,世紀,a period of 100 years
CEO,最高経営責任者（CEO,the corporate executive responsible for the operations of the firm; reports to a board of directors; may appoint other managers (including a president)
ceremony,式,a formal event performed on a special occasion
certain,一定,definite but not specified or identified
certainly,もちろん,definitely or positively (`sure' is sometimes used informally for `surely')
chain,鎖,a series of things depending on each other as if linked together
chair,椅子,"a seat for one person, with a support for the back"
chairman,会長,the officer who presides at the meetings of an organization
challenge,チャレンジ,a demanding or stimulating situation
chamber,チェンバー,a natural or artificial enclosed space
champion,チャンピオン,someone who has won first place in a competition
championship,チャンピオンシップ,the status of being a champion
chance,機会,a possibility due to a favorable combination of circumstances
change,変化する,an event that occurs when something passes from one state or phase to another
changing,変化,cause to change; make different; cause a transformation
channel,チャネル,a path over which electrical signals can pass
chapter,章,a subdivision of a written work; usually numbered and titled
character,キャラクター,an imaginary person represented in a work of fiction (play or film or story)
characteristic,特性,a prominent attribute or aspect of something
characterize,特徴づけます,describe or portray the character or the qualities or peculiarities of
charge,充電,an impetuous rush toward someone or something
charity,チャリティ,a foundation created to promote the public good (not for assistance to any particular individuals)
chart,チャート,a visual display of information
chase,追跡,the act of pursuing in an effort to overtake or capture
cheap,安いです,relatively low in price or charging low prices
check,小切手,a written order directing a bank to pay money
cheek,頬,either side of the face below the eyes
cheese,チーズ,a solid food prepared from the pressed curd of milk
chef,シェフ,a professional cook
chemical,ケミカル,material produced by or used in a reaction involving changes in atoms or molecules
chest,胸,the part of the human torso between the neck and the diaphragm or the corresponding part in other vertebrates
chicken,チキン,the flesh of a chicken used for food
chief,チーフ,a person who is in charge
child,子,a young person of either sex
childhood,子供時代,the time of person's life when they are a child
Chinese,中国の,any of the Sino-Tibetan languages spoken in China; regarded as dialects of a single language (even though they are mutually unintelligible) because they share an ideographic writing system
chip,チップ,a small fragment of something broken off from the whole
chocolate,チョコレート,a beverage made from cocoa powder and milk and sugar; usually drunk hot
choice,選択,the person or thing chosen or selected
cholesterol,コレステロール,an animal sterol that is normally synthesized by the liver; the most abundant steroid in animal tissues
choose,選択,"pick out, select, or choose from a number of alternatives"
Christian,キリスト教徒,a religious person who believes Jesus is the Christ and who is a member of a Christian denomination
Christmas,クリスマス,period extending from Dec. 24 to Jan. 6
church,教会,one of the groups of Christians who have their own beliefs and forms of worship
cigarette,シガレット,finely ground tobacco wrapped in paper; for smoking
circle,サークル,ellipse in which the two axes are of equal length; a plane curve generated by one point moving at a constant distance from a fixed point
circumstance,事情,a condition that accompanies or influences some event or activity
cite,引用します,a short note recognizing a source of information or of a quoted passage
citizen,市民,a native or naturalized member of a state or other political community
city,市,a large and densely populated urban area; may include several independent administrative districts
civil,民事上,applying to ordinary citizens as contrasted with the military
civilian,民間人,a nonmilitary citizen
claim,請求,an assertion of a right (as to money or property)
class,クラス,a collection of things sharing a common attribute
classic,クラシック,a creation of the highest excellence
classroom,教室,a room in a school where lessons take place
clean,掃除,a weightlift in which the barbell is lifted to shoulder height and then jerked overhead
clear,晴れ,the state of being free of suspicion
clearly,はっきり,without doubt or question
client,クライアント,a person who seeks the advice of a lawyer
climate,気候,the weather in some location averaged over some long period of time
climb,登る,an upward slope or grade (as in a road)
clinic,診療所,a medical establishment run by a group of medical specialists
clinical,臨床の,relating to a clinic or conducted in or as if in a clinic and depending on direct observation of patients
clock,時計,a timepiece that shows the time of day
close,閉じる,the temporal end; the concluding time
closely,密接に,in a close relation or position in time or space
closer,クローザー,a person who closes something
clothes,服,clothing in general
clothing,衣類,a covering designed to be worn on a person's body
cloud,雲,"any collection of particles (e.g., smoke or dust) or gases that is visible"
club,クラブ,a team of professional baseball players who play and travel together
clue,手掛かり,a slight indication
cluster,集まる,a grouping of a number of similar things
coach,コーチ,(sports) someone in charge of training an athlete or a team
coal,石炭,fossil fuel consisting of carbonized vegetable matter deposited in the Carboniferous period
coalition,連立,an organization of people (or countries) involved in a pact or treaty
coast,海岸,the shore of a sea or ocean
coat,コート,an outer garment that has sleeves and covers the body from shoulder down; worn outdoors
code,コード,a set of rules or principles or laws (especially written ones)
coffee,コーヒー,a beverage consisting of an infusion of ground coffee beans
cognitive,認知,of or being or relating to or involving cognition
cold,コールド,a mild viral infection involving the nose and respiratory passages (but not the lungs)
collapse,崩壊,an abrupt failure of function or complete physical exhaustion
colleague,同僚,an associate that one works with
collect,コレクト,a short prayer generally preceding the lesson in the Church of Rome or the Church of England
collection,コレクション,several things grouped together or considered as a whole
collective,集合的な,members of a cooperative enterprise
college,カレッジ,the body of faculty and students of a college
colonial,コロニアル,a resident of a colony
color,色,a visual attribute of things that results from the light they emit or transmit or reflect
column,カラム,a line of units following one after another
combination,組み合わせ,a collection of things that have been combined; an assemblage of separate parts or qualities
combine,コンバイン,harvester that heads and threshes and cleans grain while moving across the field
come,来ます,the thick white fluid containing spermatozoa that is ejaculated by the male genital tract
comedy,コメディ,light and humorous drama with a happy ending
comfort,快適さ,a state of being relaxed and feeling no pain
comfortable,快適,providing or experiencing physical well-being or relief (`comfy' is informal)
command,コマンド,an authoritative direction or instruction to do something
commander,指揮官,an officer in command of a military unit
comment,コメント,a statement that expresses a personal opinion or belief or adds information
commercial,商業の,a commercially sponsored ad on radio or television
commission,手数料,a special group delegated to consider some matter;  - Milton Berle
commit,コミット,"perform an act, usually with a negative connotation"
commitment,コミットメント,the trait of sincere and steadfast fixity of purpose
committee,委員会,a special group delegated to consider some matter;  - Milton Berle
common,一般,a piece of open land for recreational use in an urban area
communicate,コミュニケート,transmit information
communication,コミュニケーション,the activity of communicating; the activity of conveying information
community,コミュニティ,a group of people living in a particular local area
company,会社,an institution created to conduct business
compare,比較します,qualities that are comparable
comparison,比較,the act of examining resemblances
compete,競合,compete for something; engage in a contest; measure oneself against others
competition,コンペ,a business relation in which two parties compete to gain customers
competitive,競争の,involving competition or competitiveness
competitor,競合他社選手,the contestant you hope to defeat
complain,文句を言います,"express complaints, discontent, displeasure, or unhappiness"
complaint,苦情文句,an often persistent bodily disorder or disease; a cause for complaining
complete,コンプリート,come or bring to a finish or an end
completely,完全に,to a complete degree or to the full or entire extent (`whole' is often used informally for `wholly')
complex,繁雑,a conceptual whole made up of complicated and related parts
complicated,複雑,make more complicated
component,成分,an abstract part of something
compose,コン,form the substance of
composition,組成,the spatial property resulting from the arrangement of parts in relation to each other and to the whole
comprehensive,包括的,an intensive examination testing a student's proficiency in some special field of knowledge
computer,コンピューター,a machine for performing calculations automatically
concentrate,集中,the desired mineral that is left after impurities have been removed from mined ore
concentration,濃度,the strength of a solution; number of molecules of a substance in a given volume
concept,概念,an abstract or general idea inferred or derived from specific instances
concern,懸念,something that interests you because it is important or affects you
concerned,心配している,be relevant to
concert,コンサート,a performance of music by players or singers not involving theatrical staging
conclude,結論,decide by reasoning; draw or come to a conclusion
conclusion,結論,a position or opinion or judgment reached after consideration
concrete,コンクリート,a strong hard building material composed of sand and gravel and cement and water
condition,状態,a state at a particular time
conduct,行動,manner of acting or controlling yourself
conference,会議,a prearranged meeting for consultation or exchange of information or discussion (especially one with a formal agenda)
confidence,信頼,freedom from doubt; belief in yourself and your abilities
confident,自信を持って,having or marked by confidence or assurance
confirm,確認,establish or strengthen as with new evidence or facts
conflict,コンフリクト,an open clash between two opposing groups (or individuals); --Thomas Paine
confront,対面,"oppose, as in hostility or a competition"
confusion,錯乱,disorder resulting from a failure to behave predictably
Congress,会議,the legislature of the United States government
congressional,議会,of or relating to congress
connect,接続,"connect, fasten, or put together two or more pieces"
connection,接続,a relation between things or events (as in the case of one causing the other or sharing features with it)
consciousness,意識,an alert cognitive state in which you are aware of yourself and your situation
consensus,コンセンサス,agreement in the judgment or opinion reached by a group as a whole
consequence,結果,a phenomenon that follows and is caused by some previous phenomenon
conservative,保守的,a person who is reluctant to accept changes and new ideas
consider,考えます,deem to be
considerable,かなりの,large or relatively large in number or amount or extent or degree
consideration,考慮,the process of giving careful thought to something
consist,成ります,originate (in)
