英単語,日本語,英語意味
civilization,文明,"a society in an advanced state of social development (e.g., with complex legal and political and religious organizations)"
claim,請求,an assertion of a right (as to money or property)
classical,クラシカル,traditional genre of music conforming to an established form and appealing to critical interest and developed musical taste
classify,分類,arrange or order by classes or categories
clear,晴れ,the state of being free of suspicion
click,クリック,a short light metallic sound
cliff,崖,a steep high face of rock
climate,気候,the weather in some location averaged over some long period of time
climber,クライマー,a vine or climbing plant that readily grows up a support or over other plants
clinic,診療所,a medical establishment run by a group of medical specialists
clip,クリップ,a metal frame or container holding cartridges; can be inserted into an automatic gun
closely,密接に,in a close relation or position in time or space
coal,石炭,fossil fuel consisting of carbonized vegetable matter deposited in the Carboniferous period
coast,海岸,the shore of a sea or ocean
coastal,海岸の,of or relating to a coast
cod,鱈,the vessel that contains the seeds of a plant (not the seeds themselves)
coffin,棺,box in which a corpse is buried or cremated
collapse,崩壊,an abrupt failure of function or complete physical exhaustion
collar,襟,a band that fits around the neck and is usually folded over
columnist,コラムニスト,a journalist who writes editorials
combination,組み合わせ,a collection of things that have been combined; an assemblage of separate parts or qualities
combine,コンバイン,harvester that heads and threshes and cleans grain while moving across the field
comedian,コメディアン,a professional performer who tells jokes and performs comical acts
comedy,コメディ,light and humorous drama with a happy ending
comet,彗星,(astronomy) a relatively small extraterrestrial body consisting of a frozen mass that travels around the sun in a highly elliptical orbit
comfort,快適さ,a state of being relaxed and feeling no pain
comma,コンマ,"a punctuation mark (,) used to indicate the separation of elements within the grammatical structure of a sentence"
command,コマンド,an authoritative direction or instruction to do something
comment,コメント,a statement that expresses a personal opinion or belief or adds information
commercial,商業の,a commercially sponsored ad on radio or television
commit,コミット,"perform an act, usually with a negative connotation"
commonly,一般に,under normal conditions
companion,コンパニオン,a friend who is frequently in the company of another
comparison,比較,the act of examining resemblances
compete,競合,compete for something; engage in a contest; measure oneself against others
competitive,競争の,involving competition or competitiveness
competitor,競合他社選手,the contestant you hope to defeat
complement,補体,a word or phrase used to complete a grammatical construction
complete,コンプリート,come or bring to a finish or an end
completely,完全に,to a complete degree or to the full or entire extent (`whole' is often used informally for `wholly')
complex,繁雑,a conceptual whole made up of complicated and related parts
complicate,複雑,make more complicated
complicated,複雑,make more complicated
compliment,お世辞,a remark (or act) expressing praise and admiration
compose,コン,form the substance of
composition,組成,the spatial property resulting from the arrangement of parts in relation to each other and to the whole
compound,化合物,a whole formed by a union of two or more elements or parts
compromise,妥協,a middle way between two extremes
concentration,濃度,the strength of a solution; number of molecules of a substance in a given volume
concept,概念,an abstract or general idea inferred or derived from specific instances
concerned,心配している,be relevant to
conclude,結論,decide by reasoning; draw or come to a conclusion
conclusion,結論,a position or opinion or judgment reached after consideration
conduct,行動,manner of acting or controlling yourself
confidence,信頼,freedom from doubt; belief in yourself and your abilities
confirm,確認,establish or strengthen as with new evidence or facts
confirmation,確認,additional proof that something that was believed (some fact or hypothesis or theory) is correct
conflict,コンフリクト,an open clash between two opposing groups (or individuals); --Thomas Paine
confusing,混乱,mistake one thing for another
confusion,錯乱,disorder resulting from a failure to behave predictably
congratulate,祝います,say something to someone that expresses praise
connect,接続,"connect, fasten, or put together two or more pieces"
connection,接続,a relation between things or events (as in the case of one causing the other or sharing features with it)
conquer,統治,to put down by force or authority
conscious,意識して,intentionally conceived
consequently,この結果,(sentence connectors) because of the reason given
conservation,保全,an occurrence of improvement by virtue of preventing loss or injury or other change
conservative,保守的,a person who is reluctant to accept changes and new ideas
considerable,かなりの,large or relatively large in number or amount or extent or degree
consideration,考慮,the process of giving careful thought to something
consonant,子音,a speech sound that is not a vowel
constantly,絶えず,"without variation or change, in every case"
constitute,構成します,form or compose
constitution,憲法,law determining the fundamental political principles of a government
construct,構文,an abstract or general idea inferred or derived from specific instances
construction,建設,the act of constructing something
consume,消費します,eat immoderately
consumer,消費者,a person who uses goods or services
consumption,消費,the process of taking food into the body through the mouth (as by eating)
contain,含む,include or contain; have as a component
content,コンテンツ,everything that is included in a collection and that is held or included in something
continual,連続しました,occurring without interruption; chiefly restricted to what recurs regularly or frequently in a prolonged and closely spaced series
continually,絶えず,seemingly without interruption
continuous,連続,continuing in time or space without interruption; - James Jeans
continuously,連続,at every point
contrary,反対,a relation of direct opposition
contribute,助ける,bestow a quality on
contribution,貢献,the part played by a person in bringing about a result
control,コントロール,power to direct or determine
controversial,物議を醸します,marked by or capable of arousing controversy
convey,伝える,"make known; pass on, of information"
convince,確信させます,"make (someone) agree, understand, or realize the truth or validity of something"
copyright,著作権,a document granting exclusive right to publish and sell literary or musical or artistic work
correction,補正,the act of offering an improvement to replace a mistake; setting right
cotton,コットン,soft silky fibers from cotton plants in their raw state
cough,咳,a sudden noisy expulsion of air from the lungs that clears the air passages; a common symptom of upper respiratory infection or bronchitis or pneumonia or tuberculosis
council,協議会,a body serving in an administrative capacity
counseling,カウンセリング,something that provides direction or advice as to a decision or course of action
count,カウント,the total number counted
counter,カウンター,table consisting of a horizontal surface over which business is transacted
countless,数え切れません,too numerous to be counted
county,郡,(United Kingdom) a region created by territorial division for the purpose of local government
courage,勇気,a quality of spirit that enables you to face danger or pain without showing fear
courageous,勇気のある,possessing or displaying courage; able to face and deal with danger or fear without flinching; - Herman Melville; - William Wordsworth
courgette,ズッキーニ,marrow squash plant whose fruit are eaten when small
craft,クラフト,the skilled practice of a practical occupation
crash,クラッシュ,a loud resonant repeating noise
creator,クリエーター,terms referring to the Judeo-Christian God
criminal,犯罪者,someone who has committed a crime or has been legally convicted of a crime
crisis,危機,an unstable situation of extreme danger or difficulty
critic,評論家,a person who is professionally engaged in the analysis and interpretation of works of art
critical,クリティカル,marked by a tendency to find and call attention to errors and flaws
crop,収穫,the yield from plants in a single growing season
crossing,交差点,traveling across
crossroads,十字路,a community of people smaller than a village
crow,烏,black birds having a raucous call
cruel,酷いです,(of persons or their actions) able or disposed to inflict pain or suffering
crush,クラッシュ,leather that has had its grain pattern accentuated
cucumber,きゅうり,a melon vine of the genus Cucumis; cultivated from earliest times for its cylindrical green fruit
cultivate,耕す,foster the growth of
cultural,文化的,of or relating to the arts and manners that a group favors
cure,治す,a medicine or therapy that cures disease or relieve pain
curiosity,好奇心,a state in which you want to learn more about something
curious,奇妙な,beyond or deviating from the usual or expected
curiously,奇妙にも,in a manner differing from the usual or expected
curly,縮れた,(of hair) having curls or waves
currency,通貨,the metal or paper medium of exchange that is presently used
current,電流,a flow of electricity through a conductor
currently,現在,at this time or period; now
curriculum,カリキュラム,an integrated course of academic studies
curtain,カーテン,hanging cloth used as a blind (especially for a window)
curve,曲線,the trace of a point whose direction of motion changes
cushion,クッション,a mechanical damper; absorbs energy of sudden impulses
customs,税関,money collected under a tariff
cut,切る,a share of the profits
CV,履歴書,a summary of your academic and work history
cycle,サイクル,an interval during which a recurring sequence of events occurs
daisy,デージー,any of numerous composite plants having flower heads with well-developed ray flowers usually arranged in a single whorl
damage,ダメージ,the occurrence of a change for the worse
damaged,損傷を受けました,inflict damage upon
damp,湿りました,a slight wetness
dangerously,危険な,in a dangerous manner
dare,挑戦,a challenge to do something dangerous or foolhardy
darkness,闇,absence of light or illumination
date,日付,the specified day of the month
dating,日付,use of chemical analysis to estimate the age of geological specimens
daze,夢中,the feeling of distress and disbelief that you have when something bad happens accidentally
dazzle,目をくらませます,brightness enough to blind partially and temporarily
deadline,締め切り,the point in time at which something must be completed
deadly,致命的,causing or capable of causing death
deaf,聴覚障害者,people who have severe hearing impairments
deal,対処,a particular instance of buying or selling
dealer,ディーラー,someone who purchases and maintains an inventory of goods to be sold
debris,デブリ,the remains of something that has been destroyed or broken up
debt,債務,the state of owing something (especially money)
decision,決定,the act of making up your mind about something
declaration,宣言,a statement that is emphatic and explicit (spoken or written)
declare,宣言,state emphatically and authoritatively
decline,低下,change toward something smaller or lower
decrease,減少,a change downward
dedicate,ささげます,"give entirely to a specific person, activity, or cause"
deed,証書,a legal document signed and sealed and delivered to effect a transfer of property and to show the legal right to possess it
defeat,敗北,an unsuccessful ending to a struggle or contest
defend,守る,argue or speak in defense of
defender,ディフェンダー,a person who cares for persons or property
defense,防衛,(military) military action or resources protecting a country against potential enemies
deficiency,欠乏,the state of needing something that is absent or unavailable
define,定義,determine the essential quality of
definite,確か,precise; explicit and clearly defined
definitely,間違いなく,without question and beyond doubt
definition,定義,a concise explanation of the meaning of a word or phrase or symbol
delay,ディレイ,time during which some action is awaited
delete,削除,remove or make invisible
delicate,繊細,exquisitely fine and subtle and pleasing; susceptible to injury
delight,喜び,a feeling of extreme pleasure or satisfaction
delighted,喜んで,give pleasure to or be pleasing to
delightful,楽しい,greatly pleasing or entertaining
deliver,届けます,"deliver (a speech, oration, or idea)"
delivery,配達,the act of delivering or distributing something (as goods or mail)
demand,要求する,an urgent or peremptory request
democracy,民主主義,the political orientation of those who favor government by the people or by their elected representatives
democratic,民主的な,characterized by or advocating or based upon the principles of democracy or social equality; ; ; - George du Maurier
demonstrate,証明します,give an exhibition of to an interested audience
demonstration,デモンストレーション,a show or display; the act of presenting something to sight or view
deny,否定します,declare untrue; contradict
depart,出発,move away from a place into another direction
department,部門,a specialized division of a large organization
departure,出発,the act of departing
dependent,依存,a person who relies on another person for support (especially financial support)
deposit,預り金,the phenomenon of sediment or gravel accumulating
depressed,落ち込んで,lower someone's spirits; make downhearted
depressing,押し下げます,lower someone's spirits; make downhearted
depression,うつ病,a mental state characterized by a pessimistic sense of inadequacy and a despondent lack of activity
deprive,奪います,take away possessions from someone
depth,深さ,the extent downward or backward or inward
derive,派生する,reason by deduction; establish by deduction
deserve,値する,be worthy or deserving
design,設計,the act of working out the form of something (as by making a sketch or outline or plan)
designer,デザイナー,a person who specializes in designing architectural interiors and their furnishings
desire,欲望,the feeling that accompanies an unsatisfied state
despair,絶望,a state in which all hope is lost or absent
desperate,やけくその,a person who is frightened and in need of help
