英単語,日本語意味,英語意味
amplifier,増幅器,electronic equipment that increases strength of signals passing through it
amplify,AMPLIFY,"increase in size, volume or significance"
amuse,楽しませます,"occupy in an agreeable, entertaining or pleasant fashion"
analogy,類推,an inference that if things agree in some respects they probably agree in others
analyst,アナリスト,someone who is skilled at analyzing data
anchor,アンカー,a mechanical device that prevents a vessel from moving
anchorage,停泊,the condition of being secured to a base
anchorman,アンカーマン,a television reporter who coordinates a broadcast to which several correspondents contribute
anchorperson,司会,a television reporter who coordinates a broadcast to which several correspondents contribute
anguish,苦悩,extreme mental distress
animate,アニメーション,heighten or intensify
anonymous,アノニマス,having no known name or identity or known source
antiaircraft,対空,artillery designed to shoot upward at airplanes
antibacterial,抗菌,any drug that destroys bacteria or inhibits their growth
anticancer,抗がん,used in the treatment of cancer
anticipate,予想します,regard something as probable or likely
anticipation,期待,an expectation
antipollution,公害防止,intended to reduce pollution
antique,アンティーク,an elderly man
apostrophe,アポストロフィ,address to an absent or imaginary person
appeal,アピール,earnest or urgent request
applicant,申請者,a person who requests or seeks something such as assistance or employment or admission
appreciative,鑑賞的な,feeling or expressive of gratitude
approach,アプローチ,ideas or actions intended to deal with a problem or situation
appropriately,適当に,in an appropriate manner
approximate,近似,be close or similar
arch,アーチ,a curved shape in the vertical plane that spans an opening
archaeologist,考古学者,an anthropologist who studies prehistoric people and their culture
arctic,北極の,the regions to the north of the Arctic Circle centered on the North Pole
arena,アリーナ,a particular environment or walk of life
aristocracy,貴族,a privileged class holding hereditary titles
armful,一抱え,the quantity that can be contained in the arms
arouse,そそります,"call forth (emotions, feelings, and responses)"
arrogant,横柄な,having or showing feelings of unwarranted importance out of overbearing pride
artery,動脈,a blood vessel that carries blood from the heart to the body
articulate,歯切れ,provide with a joint
artificially,人工的,not according to nature; not by natural means
artistry,芸術,a superior skill that you can learn by study and practice and observation
ash,灰,the residue that remains when something is burned
aspiration,願望,a will to succeed
aspire,志す,have an ambitious plan or a lofty goal
assault,暴行,close fighting during the culmination of a military attack
assemble,組み立てる,create by putting components or members together
assembly,アセンブリ,a group of machine parts that fit together to form a self-contained unit
assert,主張する,state categorically
assess,評価します,the fleshy part of the human body that you sit on
assessment,評価,the classification of someone or something with respect to its worth
assumption,仮定,a statement that is assumed to be true and from which a conclusion can be drawn
assurance,保証,freedom from doubt; belief in yourself and your abilities
assure,保証,make certain of
astonish,驚かす,affect with wonder
astonished,びっくり,affect with wonder
astonishing,驚くべき,affect with wonder
astonishment,驚き,the feeling that accompanies something extremely surprising
astronomy,天文学,the branch of physics that studies celestial bodies and the universe as a whole
athletics,陸上競技,an active diversion requiring physical exertion and competition
attached,付属の,cause to be attached
attainable,到達できます,capable of being attained or accomplished
attainment,到達,the act of achieving an aim
attendance,出席,the act of being present (at a meeting or event etc.)
attentive,気配り,(often followed by `to') giving care or attention
attentively,注意深く,with attention; in an attentive manner
attractiveness,見栄え,the quality of arousing interest; being attractive or something that attracts
attribute,属性,a construct whereby objects or individuals can be distinguished
atypical,非定型,"not representative of a group, class, or type"
aubergine,茄子,hairy upright herb native to southeastern Asia but widely cultivated for its large glossy edible fruit commonly used as a vegetable
audit,監査,an inspection of the accounting procedures and records by a trained accountant or CPA
audition,オーディション,the ability to hear; the auditory faculty
authoritative,権威,having authority or ascendancy or influence
authorize,AUTHORIZE,grant authorization or clearance for
availability,可用性,the quality of being at hand when needed
await,待つ,look forward to the probable occurrence of
awe,畏怖,an overwhelming feeling of wonder or admiration
ax,斧,an edge tool with a heavy bladed head mounted across a handle
axis,軸,a straight line through a body or figure that satisfies certain conditions
backup,バックアップ,an accumulation caused by clogging or a stoppage
backward,後方,directed or facing toward the back or rear
backyard,裏庭,the grounds in back of a house
badge,バッジ,an emblem (a small piece of plastic or cloth or metal) that signifies your status (rank or membership or affiliation etc.)
bad-tempered,悪いテンパー,annoyed and irritable
balance,残高,a state of equilibrium
balanced,バランス,bring into balance or equilibrium
balky,balky,stopping short and refusing to go on
ballad,バラッド,a narrative song with a recurrent refrain
ballet,バレエ,a theatrical representation of a story that is performed to music by trained dancers
ballot,票,a document listing the alternatives that is used in voting
ban,禁止,a decree that prohibits something
banker,バンカー,a financier who owns or is an executive in a bank
bankrupt,破産,someone who has insufficient assets to cover their debts
bankruptcy,倒産,a state of complete lack of some abstract property
barbershop,理髪店,a shop where men can get their hair cut
bare,裸,lay bare
bargain,バーゲン,an agreement between parties (usually arrived at after discussion) fixing obligations of each
bark,吠える,tough protective covering of the woody stems and roots of trees and other woody plants
barley,大麦,a grain of barley
barn,納屋,an outlying farm building for storing grain or animal feed and housing farm animals
barometer,バロメーター,an instrument that measures atmospheric pressure
barren,不毛,an uninhabited wilderness that is worthless for cultivation
barrier,バリア,a structure or object that impedes free movement
bartender,バーテンダー,an employee who mixes and serves alcoholic drinks at a bar
bathhouse,銭湯,a building containing dressing rooms for bathers
battlefield,戦場,a region where a battle is being (or has been) fought
beagle,ビーグル,a small short-legged smooth-coated breed of hound
beak,嘴,"beaklike mouth of animals other than birds (e.g., turtles)"
beam,ビーム,a signal transmitted along a narrow path; guides airplane pilots in darkness or bad weather
bearing,ベアリング,relevant relation or interconnection
beat,ビート,a regular route for a sentry or policeman
beautify,美しく,make more beautiful
bellow,怒鳴ります,a very loud utterance (like the sound of an animal)
belongings,持ち物,something owned; any tangible or intangible possession that is owned by someone
bend,曲がり,a circular segment of a curve
beneficial,有益,promoting or enhancing well-being
benefit,ベネフィット,financial assistance in time of need
benevolence,慈悲,disposition to do good
benevolent,慈善,intending or showing kindness
berry,ベリー,any of numerous small and pulpy edible fruits; used as desserts or in making jams and jellies and preserves
bestow,授けます,present
bestseller,ベスト・セラー,a book that has had a large and rapid sale
betray,裏切る,reveal unintentionally
bewilder,惑わします,be a mystery or bewildering to
bewilderment,当惑,confusion resulting from failure to understand
bid,入札,an authoritative direction or instruction to do something
bidding,入札,an authoritative direction or instruction to do something
bikini,ビキニ,an atoll in the Marshall Islands; formerly used by the United States as a site for testing nuclear weapons
billion,十億,the number that is represented as a one followed by 12 zeros; in the United Kingdom the usage followed in the United States is frequently seen
bind,練る,something that hinders as if with bonds
biological,生物学,pertaining to biology or to life and living things
biotechnology,バイオテクノロジー,the branch of molecular biology that studies the use of microorganisms to perform specific industrial processes
birdcage,鳥かご,a cage in which a bird can be kept
birthplace,出生地,the place where someone was born
bitterly,ひどく,"with bitterness, in a resentful manner"
bizarre,奇妙な,conspicuously or grossly unconventional or unusual
blade,刃,especially a leaf of grass or the broad portion of a leaf as distinct from the petiole
blast,爆風,a very long fly ball
blaze,炎,a strong flame that burns brightly
blend,ブレンド,an occurrence of thorough mixing
blindly,闇雲,without seeing or looking
blindness,盲目,the state of being blind or lacking sight
blink,点滅,a reflex that closes and opens the eyes rapidly
bloodstream,血流,the blood flowing through the circulatory system
bloody,血まみれの,cover with blood
blooming,開花,the organic process of bearing flowers
blossom,花,reproductive organ of angiosperm plants especially one having showy or colorful parts
blur,ぼかし,a hazy or indistinct representation
blurt,口走ります,utter impulsively
blush,赤面,a rosy color (especially in the cheeks) taken as a sign of good health
boiling,沸騰,the application of heat to change something from a liquid to a gas
bold,大胆な,a typeface with thick heavy lines
bolt,ボルト,a discharge of lightning accompanied by thunder
bombard,ボンバード,a large shawm; the bass member of the shawm family
bomber,爆撃機,a military aircraft that drops bombs during flight
bombing,爆撃,an attack by dropping bombs
bony,骨,very thin especially from disease or hunger or cold
bookish,読書好き,characterized by diligent study and fondness for reading
booklet,冊子,a small book usually having a paper cover
bookmark,ブックマーク,a marker (a piece of paper or ribbon) placed between the pages of a book to mark the reader's place
boost,ブースト,the act of giving hope or support to someone
booth,ブース,a table (in a restaurant or bar) surrounded by two high-backed benches
bossy,親分肌の人,offensively self-assured or given to exercising usually unwarranted power
botany,植物学,all the plant life in a particular region or period
bothered,気に,take the trouble to do something; concern oneself
bothersome,うるさいです,causing irritation or annoyance
bottle,ボトル,a glass or plastic vessel used for storing drinks or other liquids; typically cylindrical without handles and with a narrow neck that can be plugged or capped
bounce,跳ねる、弾む,the quality of a substance that is able to rebound
bourbon,バーボン,a reactionary politician in the United States (usually from the South)
bow,弓,a knot with two loops and loose ends; used to tie shoelaces
boxer,ボクサー,someone who fights with his fists for sport
bracket,ブラケット,a category falling within certain defined limits
brag,自慢,an instance of boastful talk
brake,ブレーキ,a restraint used to slow or stop a vehicle
bravery,勇気,a quality of spirit that enables you to face danger or pain without showing fear
breakable,壊れやすいです,an article that is fragile and easily broken
breakdown,壊す,the act of disrupting an established order so it fails to continue
breakup,別れる,the termination or disintegration of a relationship (between persons or nations)
breathtaking,息をのみます,tending to cause suspension of regular breathing
breed,繁殖,a special variety of domesticated animals within a species
breezy,さわやかな,fresh and animated
brewery,醸造所,a plant where beer is brewed by fermentation
brilliantly,見事に,with brightness
broadband,ブロードバンド,of or relating to or being a communications network in which the bandwidth can be divided and shared by multiple simultaneous signals (as for voice or data or video)
broadcast,放送,message that is transmitted by radio or television
broadcaster,放送者,someone who broadcasts on radio or television
broaden,広げる,make broader
broadly,広く,without regard to specific details or exceptions
brochure,パンフレット,a small book usually having a paper cover
brother-in-law,義兄弟,a brother by marriage
browse,ブラウズ,"vegetation (such as young shoots, twigs, and leaves) that is suitable for animals to eat"
browser,ブラウザ,a viewer who looks around casually without seeking anything in particular
bruise,あざ,an injury that doesn't break the skin but results in some discoloration
bud,蕾,a partially opened flower
budget,予算,a sum of money allocated for a particular purpose
bulimia,過食症,a disorder of eating seen among young women who go on eating binges and then feel guilt and depression and self-condemnation
bully,いじめ,a cruel and brutal fellow
bum,尻,a person who is deemed to be despicable or contemptible
bumper,バンパー,a glass filled to the brim (especially as a toast)
bun,丸パン,small rounded bread either plain or sweet
burden,重荷,an onerous or difficult concern
burdensome,負担,not easily borne; wearing
bureaucracy,官僚,nonelective government officials
burglary,強盗,entering a building unlawfully with intent to commit a felony or to steal valuable property
burgle,強盗にはいります,commit a burglary; enter and rob a dwelling
burial,埋葬,the ritual placing of a corpse in a grave
bustle,賑わい,a rapid active commotion
bustling,賑やかな,move or cause to move energetically or busily
butcher,肉屋,a retailer of meat
buzz,バズ,sound of rapid vibration
cabinet,戸棚,a piece of furniture resembling a cupboard with doors and shelves and drawers; for storage or display
cable,ケーブル,a telegram sent abroad
calmly,静かに,with self-possession (especially in times of stress)
campaign,運動,a race between candidates for elective office
candidate,候補者,a politician who is running for public office
cane,杖,a stick that people can lean on to help them walk
cannonball,キャノンボール,a solid projectile that in former times was fired from a cannon
canon,カノン,a rule or especially body of rules or principles generally established as valid and fundamental in a field or art or philosophy
capability,能力,the quality of being capable -- physically or intellectually or legally
caption,キャプション,taking exception; especially a quibble based on a captious argument
captive,キャプティブ,a person who is confined; especially a prisoner of war
caravan,キャラバン,a procession (of wagons or mules or camels) traveling together in single file
carbon,炭素,an abundant nonmetallic tetravalent element occurring in three allotropic forms: amorphous carbon and graphite and diamond; occurs in all organic compounds
cardboard,段ボール,a stiff moderately thick paper
cardigan,カーディガン,knitted jacket that is fastened up the front with buttons or a zipper
carefree,伸び伸び,free of trouble and worry and care
caring,思いやり,a loving feeling
carnival,カーニバル,a festival marked by merrymaking and processions
carve,彫ります,form by carving
cascade,カスケード,a small waterfall or series of small waterfalls
cast,キャスト,the actors in a play
casually,何気なく,not methodically or according to plan
catalog,カタログ,a book or pamphlet containing an enumeration of things
catalyst,触媒,(chemistry) a substance that initiates or accelerates a chemical reaction without itself being affected
catastrophe,破局,an event resulting in great loss and misfortune
catastrophic,壊滅的な,extremely harmful; bringing physical or financial ruin
catchy,キャッチー,having concealed difficulty
categorization,分類,a group of people or things arranged by class or category
catering,ケータリング,providing food and services
cathedral,大聖堂,any large and important church
cause,原因,events that provide the generative force that is the origin of something
cease,止めます,(`cease' is a noun only in the phrase `without cease') end
ceiling,天井,the overhead upper surface of a covered space
cellar,地下室,the lowermost portion of a structure partly or wholly below ground level; often used for storage
cellist,チェリスト,someone who plays a violoncello
cello,チェロ,a large stringed instrument; seated player holds it upright while playing
cemetery,お墓,a tract of land used for burials
centigrade,摂氏,of or relating to a temperature scale on which the freezing point of water is 0 degrees and the boiling point of water is 100 degrees
certificate,証明書,a document attesting to the truth of certain stated facts
certification,認証,the act of certifying or bestowing a franchise on
certify,サーティファイ,"provide evidence for; stand as proof of; show by one's behavior, attitude, or external attributes"
challenge,チャレンジ,a demanding or stimulating situation
chancellor,宰相,the British cabinet minister responsible for finance
chaotic,混沌としました,lacking a visible order or organization
characteristic,特性,a prominent attribute or aspect of something
charming,魅力的な,attract; cause to be enamored
chase,追跡,the act of pursuing in an effort to overtake or capture
cheat,騙します,weedy annual grass often occurs in grainfields and other cultivated land; seeds sometimes considered poisonous
checkpoint,チェックポイント,a place (as at a frontier) where travellers are stopped for inspection and clearance
cheeky,生意気な,offensively bold
cheerfully,いそいそ,in a cheerful manner
cheerfulness,陽気,the quality of being cheerful and dispelling gloom
chemotherapy,化学療法,the use of chemical agents to treat or control disease (or mental illness)
cherished,大切,be fond of; be attached to
cherry,チェリー,wood of any of various cherry trees especially the black cherry
chew,かみます,a wad of something chewable as tobacco
chief,チーフ,a person who is in charge
childish,子供っぽい,indicating a lack of maturity
chimney,煙突,a vertical flue that provides a path through which smoke from a fire is carried away through the wall or roof of a building
chip,チップ,a small fragment of something broken off from the whole
chop,チョップ,the irregular motion of waves (usually caused by wind blowing in a direction opposite to the tide)
chunk,チャンク,a compact mass
circuit,回路,an electrical device that provides a path for electrical current to flow
circuitry,回路,electronic equipment consisting of a system of circuits
circumstance,事情,a condition that accompanies or influences some event or activity
citywide,市全域の,occurring or extending throughout a city
clam,蛤,burrowing marine mollusk living on sand or mud; the shell closes with viselike firmness
clap,拍手,a sudden very loud noise
clarify,明らかにする,make clear and (more) comprehensible
classic,クラシック,a creation of the highest excellence
classification,分類,the act of distributing things into classes or categories of the same type
clause,句,(grammar) an expression including a subject and predicate but not constituting a complete sentence
clearness,明るさ,free from obscurity and easy to understand; the comprehensibility of clear expression
clerical,事務員の,of or relating to clerks
client,クライアント,a person who seeks the advice of a lawyer
clog,おもり,footwear usually with wooden soles
closure,閉鎖,approaching a particular destination; a coming closer; a narrowing of a gap
clothing,衣類,a covering designed to be worn on a person's body
clumsy,不器用,lacking grace in movement or posture
coach,コーチ,(sports) someone in charge of training an athlete or a team
coaching,指導,the job of a professional coach
coalition,連立,an organization of people (or countries) involved in a pact or treaty
coarse,粗い,of textures that are rough to the touch or substances consisting of relatively large particles
coastline,海岸線,the outline of a coast
cocktail,カクテル,a short mixed drink
cocoa,ココア,a beverage made from cocoa powder and milk and sugar; usually drunk hot
coconut,ココナッツ,the edible white meat of a coconut; often shredded for use in e.g. cakes and curries
coherence,一貫,the state of cohering or sticking together
coherent,コヒーレント,"marked by an orderly, logical, and aesthetically consistent relation of parts"
coincide,一致,"go with, fall together"
coincidence,一致,an event that might have been arranged although it was really accidental
collapse,崩壊,an abrupt failure of function or complete physical exhaustion
colleague,同僚,an associate that one works with
collector,コレクタ,a person who collects things
collocation,コロケーション,a grouping of words in a sentence
colon,結腸,the part of the large intestine between the cecum and the rectum; it extracts moisture from food residues before they are excreted
colonial,コロニアル,a resident of a colony
coma,昏睡,a state of deep and often prolonged unconsciousness; usually the result of disease or injury
comb,櫛,a flat device with narrow pointed teeth on one edge; disentangles or arranges hair
comfortably,楽に,in mental comfort; without stress
commander,指揮官,an officer in command of a military unit
commemorate,慶功寫真,mark by some ceremony or observation
comment,コメント,a statement that expresses a personal opinion or belief or adds information
commerce,商業,transactions (sales and purchases) having the objective of supplying commodities (goods and services)
commercial,商業の,a commercially sponsored ad on radio or television
commission,手数料,a special group delegated to consider some matter;  - Milton Berle
commonwealth,連邦,the official name of some states in the United States (Massachusetts and Pennsylvania and Virginia and Kentucky) and associated territories (Puerto Rico)
communicative,コミュニケーション,of or relating to communication
community,コミュニティ,a group of people living in a particular local area
commute,通います,a regular journey of some distance to and from your place of work
compassion,同情,a deep awareness of and sympathy for another's suffering
compassionate,情け深いです,share the suffering of
compatible,コンパチブル,able to exist and perform in harmonious or agreeable combination
compensate,補います,adjust for
compensation,補償,something (such as money) given or received as payment or reparation (as for a service or loss or injury)
competence,技量,the quality of being adequately or well qualified physically and intellectually
competent,主務,properly or sufficiently qualified or capable or efficient
compile,コンパイル,get or gather together
completion,完了,(American football) a successful forward pass in football
complexion,顔色,the coloring of a person's face
complexity,複雑,the quality of being intricate and compounded
component,成分,an abstract part of something
comprehension,理解,an ability to understand the meaning or importance of something (or the knowledge acquired as a result)
comprehensive,包括的,an intensive examination testing a student's proficiency in some special field of knowledge
compress,圧縮,a cloth pad or dressing (with or without medication) applied firmly to some part of the body (to relieve discomfort or reduce fever)
compression,圧縮,an increase in the density of something
compromise,妥協,a middle way between two extremes
compulsory,強制,required by rule
compute,コンピュート,make a mathematical calculation or computation
conceal,隠す,prevent from being seen or discovered
concede,認めます,admit (to a wrongdoing)
conceit,うぬぼれ,feelings of excessive pride
conceivable,考えられます,capable of being imagined
conceive,思いつきます,have the idea for
conception,概念,an abstract or general idea inferred or derived from specific instances
concern,懸念,something that interests you because it is important or affects you
concerning,について,be relevant to
concession,租界,a contract granting the right to operate a subsidiary business
concrete,コンクリート,a strong hard building material composed of sand and gravel and cement and water
condemn,責めます,express strong disapproval of
conduct,行動,manner of acting or controlling yourself
conductor,導体,the person who leads a musical group
cone,円錐,any cone-shaped artifact
conference,会議,a prearranged meeting for consultation or exchange of information or discussion (especially one with a formal agenda)
confess,告白する,"confess to a punishable or reprehensible deed, usually under pressure"
confession,告白,an admission of misdeeds or faults
confidently,自信を持って,with confidence; in a confident manner
confine,閉じ込めます,place limits on (extent or access)
confront,対面,"oppose, as in hostility or a competition"
conjunction,接続詞,the temporal property of two things happening at the same time
conquest,征服,the act of conquering
conscience,良心,motivation deriving logically from ethical or moral principles that govern a person's thoughts and actions
consciousness,意識,an alert cognitive state in which you are aware of yourself and your situation
consensus,コンセンサス,agreement in the judgment or opinion reached by a group as a whole
consent,同意,permission to do something
considerably,かなり,to a great extent or degree
considering,考えると,deem to be
consistent,首尾一貫した,(sometimes followed by `with') in agreement or consistent or reliable; ; - FDR
consolation,慰め,the comfort you feel when consoled in times of disappointment
console,コンソール,a small table fixed to a wall or designed to stand against a wall
constant,絶え間ない,a quantity that does not vary
consult,相談します,get or ask advice from
consultant,コンサルタント,an expert who gives advice
contaminate,汚染,make impure
contemporary,コンテンポラリー,a person of nearly the same age as another
contempt,侮辱,lack of respect accompanied by a feeling of intense dislike
content,コンテンツ,everything that is included in a collection and that is held or included in something
contract,契約する,a binding agreement between two or more persons that is enforceable by law
contradict,矛盾,be in contradiction with
contradiction,矛盾,opposition between two conflicting forces or ideas
contradictory,矛盾しました,two propositions are contradictories if both cannot be true (or both cannot be false) at the same time
controversy,論争,a contentious speech act; a dispute where there is strong disagreement
conveniently,便利に,in a convenient manner
convention,コンベンション,a large formal assembly
conventional,従来の,following accepted customs and proprieties
converse,逆の,a proposition obtained by conversion
conversely,逆に,with the terms of the relation reversed
conversion,変換,an event that results in a transformation
convert,変換,a person who has been converted to another religious or political belief
convinced,確信して,"make (someone) agree, understand, or realize the truth or validity of something"
cool,涼しい,the quality of being at a refreshingly low temperature
cooperate,協力,work together on a common enterprise of project
cooperation,連携,joint operation or action
cooperative,協同組合,a jointly owned commercial enterprise (usually organized by farmers or consumers) that produces and distributes goods and services and is run for the benefit of its owners
cope,対処,brick that is laid sideways at the top of a wall
copper,銅,a ductile malleable reddish-brown corrosion-resistant diamagnetic metallic element; occurs in various minerals but is the only metal that occurs abundantly in large masses; used as an electrical and thermal conductor
coral,コーラル,a variable color averaging a deep pink
core,芯,a small group of indispensable persons or things
cornerstone,礎石,the fundamental assumptions from which something is begun or developed or calculated or explained
cornet,コルネット,a brass musical instrument with a brilliant tone; has a narrow tube and a flared bell and is played by means of valves
corona,コロナ,the outermost region of the sun's atmosphere; visible as a white halo during a solar eclipse
corporal,伍長,a noncommissioned officer in the Army or Air Force or Marines
corporate,会社の,of or belonging to a corporation
corporation,株式会社,a business firm whose articles of incorporation have been approved in some state
correct,正しい,make right or correct
correctness,正しいこと,conformity to fact or truth
correspond,一致する,"be compatible, similar or consistent; coincide in their characteristics"
correspondence,対応,communication by the exchange of letters
correspondent,特派員,someone who communicates by means of letters
corresponding,該当,"be compatible, similar or consistent; coincide in their characteristics"
corridor,廊下,an enclosed passageway; rooms usually open onto it
corrupt,壊れました,corrupt morally or by intemperance or sensuality
corruption,汚職,lack of integrity or honesty (especially susceptibility to bribery); use of a position of trust for dishonest gain
costly,高価な,entailing great loss or sacrifice
costume,コスチューム,the attire worn in a play or at a fancy dress ball
cottage,コテージ,a small house with a single story
cough,咳,a sudden noisy expulsion of air from the lungs that clears the air passages; a common symptom of upper respiratory infection or bronchitis or pneumonia or tuberculosis
counter,カウンター,table consisting of a horizontal surface over which business is transacted
countryman,同胞,a man from your own country
countrywide,全国,occurring or extending throughout a country or nation
courtesy,礼儀,a courteous or respectful or considerate act
coward,腰抜け,a person who shows fear or timidity
cowardly,臆病な,lacking courage; ignobly timid and faint-hearted; - P.B.Shelley
coziness,居心地のよさ,a state of warm snug comfort
cozy,居心地のよいです,a padded cloth covering to keep a teapot warm
crab,カニ,decapod having eyes on short stalks and a broad flattened carapace with a small abdomen folded under the thorax and pincers
crack,亀裂,a long narrow opening
craftsman,職人,a professional whose work is consistently of high quality
crater,クレーター,a bowl-shaped geological formation at the top of a volcano
crawl,クロール,a very slow movement
crease,折り目,an angular or rounded shape made by folding
creation,創造,the human act of creating
creatively,創造,in a creative manner
creek,クリーク,a natural stream of water smaller than a river (and often a tributary of a river)
creepy,不気味,annoying and unpleasant
crew,クルー,"the men and women who man a vehicle (ship, aircraft, etc.)"
criminal,犯罪者,someone who has committed a crime or has been legally convicted of a crime
cripple,クリップル,someone who is unable to walk normally because of an injury or disability to the legs or back
critically,批判的に,in a critical manner
criticism,批判,disapproval expressed by pointing out faults or shortcomings
crocodile,クロコダイル,large voracious aquatic reptile having a long snout with massive jaws and sharp teeth and a body covered with bony plates; of sluggish tropical waters
crossly,crossly,in an ill-natured manner
crucial,重要,of extreme importance; vital to the resolution of a crisis
cruelly,残酷に,excessively
cruelty,残酷さ,a cruel act; a deliberate infliction of pain and suffering
cruise,クルーズ,an ocean trip taken for pleasure
crystallize,結晶化します,cause to take on a definite and clear shape
cube,立方体,a hexahedron with six equal squares as faces
cubism,キュービズム,an artistic movement in France beginning in 1907 that featured surfaces of geometrical planes
cuff,袖口,the lap consisting of a turned-back hem encircling the end of the sleeve or leg
culmination,極致,a final climactic stage
culturally,文化,with regard to a culture
cure,治す,a medicine or therapy that cures disease or relieve pain
curl,カール,a round shape formed by a series of concentric circles (as formed by leaves or flower petals)
cursor,カーソル,(computer science) indicator consisting of a movable spot of light (an icon) on a visual display; moving it allows the user to point to commands or screen positions
cybercafe,サイバーカフェ,a cafe whose customers sit at computer terminals and log on to the internet while they eat and drink
cybercrime,サイバー犯罪,crime committed using a computer and the internet to steal a person's identity or sell contraband or stalk victims or disrupt operations with malevolent programs
cyberspace,サイバースペース,a computer network consisting of a worldwide network of computer networks that use the TCP/IP network protocols to facilitate data transmission and exchange
cyclist,サイクリスト,a person who rides a bicycle
daft,狂おしいです,informal or slang terms for mentally irregular
damn,くそー,something of little value
dandelion,蒲公英,any of several herbs of the genus Taraxacum having long tap roots and deeply notched leaves and bright yellow flowers followed by fluffy seed balls
darling,ダーリン,a special loved one
dash,ダッシュ,distinctive and stylish elegance
data,データ,a collection of facts from which conclusions may be drawn
database,データベース,an organized body of related information
dated,日付,go on a date with
daughter-in-law,義理の娘,the wife of your son
dawn,夜明け,the first light of day
daytime,昼間,the time after sunrise and before sunset while it is light outside
dear,親愛な,a beloved person; used as terms of endearment
dearly,心から,in a sincere and heartfelt manner
debit,借り方,an accounting entry acknowledging sums that are owing
